"Entry Id"	"Genes"	"Genes Relationship"	"Protein Interactions"	"Common Pathways"	"GENEmeta"	"Oligogenic variant combinations"
"946"	"FGFR1; SOX2"	"Relevant pathways for phenotype"	"N.A."	"Signaling pathways regulating pluripotency of stem cells"	"1"	"OLI1349"
"947"	"PROKR2; SEMA3E"	"Monogenic experiments only"	"N.A."	"N.A."	"0"	"OLI1351"
"948"	"SEMA3A; SOX2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Developmental Biology"	"1"	"OLI1352"
"949"	"CHD7; SOX2"	"Relevant pathways for phenotype;Involved in the same disease"	"(CHD7, SOX2)"	"N.A."	"2"	"OLI1353"
"950"	"KISS1R; NR0B1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1355"
"951"	"BMP2; SMAD6"	"Relevant pathways for phenotype;Monogenic experiments only;Indirectly interacting;Same pathway"	"N.A."	"TGF-beta signaling pathway;Generic Transcription Pathway;Signaling by BMP;RNA Polymerase II Transcription;Transcriptional regulation by RUNX2;Signal Transduction;Gene expression (Transcription);Signaling by TGFB family members"	"2"	"OLI1358; OLI1359; OLI1360; OLI1361; OLI1362; OLI1363; OLI1364; OLI1365; OLI1366; OLI1367; OLI1368"
"952"	"KIF14; TMEM67"	"Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1371"
"953"	"CYP11A1; STAR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Metabolism of steroids;Ovarian steroidogenesis;Aldosterone synthesis and secretion;Metabolism of steroid hormones;Cushing syndrome;Metabolism of lipids;Metabolism;Cortisol synthesis and secretion;Pregnenolone biosynthesis"	"2"	"OLI1372"
"954"	"DCC; FGFR1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Pathways in cancer"	"1"	"OLI1376"
"955"	"DMXL2; GNRHR; LEPR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1377"
"956"	"CHD7; POLR3A"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1378"
"957"	"CCDC141; GLI3; GNRHR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1379"
"958"	"CCDC141; FGFR1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1380"
"959"	"FGFR1; RAB3GAP2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1381"
"960"	"FGFR1; LEPR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1382"
"961"	"KL; POLR3B; TBC1D20"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1383"
"962"	"ARHGAP35; IL17RD; SMCHD1; TCF12"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1384"
"963"	"GNRHR; PROP1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1385"
"964"	"KLB; PROP1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1386"
"965"	"GNRHR; IGSF10; NDNF; SOX10"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1387"
"966"	"KLB; SOX10"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1388"
"967"	"CCDC141; TCF12"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1389"
"968"	"AMH; ANOS1; CUL4A; PNPLA6"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1390"
"969"	"ANOS1; TCF12"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Signal Transduction;Signaling by Receptor Tyrosine Kinases"	"1"	"OLI1391"
"970"	"CCDC141; DMXL2; FGFR1; NDNF"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1392"
"971"	"FGFR1; OTUD4; PROKR2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1393"
"972"	"FGFR1; POLR3B; SMCHD1; SQSTM1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1394"
"973"	"IGSF10; TACR3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1395"
"974"	"CHD7; RNF216"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1397"
"975"	"ANOS1; RAB3GAP1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1398"
"976"	"FGFR1; WDR11"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1399"
"977"	"KISS1R; PNPLA6; SQSTM1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1400"
"978"	"AMH; CHD7; DMXL2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1401"
"979"	"FGFR1; KL"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"secretion and action;Parathyroid hormone synthesis"	"2"	"OLI1402"
"980"	"CHD7; FGFR1; GNRHR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1403"
"981"	"ANOS1; CCDC141; DCC; GNRH1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1404"
"982"	"CHD7; TYRO3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1405"
"983"	"DMXL2; PCSK1; SEMA3A"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1406"
"984"	"ANOS1; SMCHD1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1407"
"985"	"FGFR1; IGSF10; SEMA7A"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1408"
"986"	"ANOS1; GLI3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Signal Transduction"	"1"	"OLI1409"
"987"	"AMH; FGFR1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1410"
"988"	"ANOS1; PLXNA1; PNPLA6"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1411"
"989"	"HS6ST1; SMCHD1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1412"
"990"	"CHD7; FGFR1; PNPLA6"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1413"
"991"	"OTUD4; PROK2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1414"
"992"	"ANOS1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Signaling by FGFR1;FGFR1c ligand binding and activation;Negative regulation of FGFR1 signaling;FGFR1 ligand binding and activation;Signal Transduction;Signaling by Receptor Tyrosine Kinases;Signaling by FGFR"	"2"	"OLI1415"
"993"	"IL17RD; RNF216"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1416"
"994"	"PNPLA6; SMCHD1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1417"
"995"	"KLB; NDNF; NR0B1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1418"
"996"	"FGFR1; KLB"	"Relevant pathways for phenotype;Involved in the same disease"	"(FGFR1, KLB)"	"Disease;Diseases of signal transduction by growth factor receptors and second messengers;Thermogenesis"	"2"	"OLI1419"
"997"	"ANOS1; PNPLA6"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1421"
"998"	"ANOS1; DCC"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1422"
"999"	"FGFR1; PLXNA1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1423"
"1000"	"AMH; ANOS1; AXL; FGF8"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1424"
"1001"	"ANOS1; DMXL2; RAB3GAP1"	"Relevant pathways for phenotype;Involved in the same disease"	"(DMXL2, RAB3GAP1)"	"N.A."	"0"	"OLI1425"
"1002"	"CHD7; RAB3GAP2; SPRY4"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1426"
"1003"	"CHD7; LEPR; RAB3GAP2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1427"
"1004"	"FGFR1; OTUD4"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1429"
"1005"	"FGFR1; SQSTM1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1430"
"1006"	"CCDC141; RAB3GAP1; SEMA3A"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1431"
"1007"	"MCTP2; ROCK1"	"Relevant pathways for phenotype;Expression in relevant tissues;Involved in the same disease;Monogenic experiments only"	"N.A."	"N.A."	"1"	"OLI1432"
"1008"	"BMP10; SMYD1"	"Relevant pathways for phenotype;Expression in relevant tissues;Monogenic experiments only"	"N.A."	"N.A."	"1"	"OLI1433"
"1009"	"LMF1; LPL"	"Relevant pathways for phenotype;Same organelle;Involved in the same disease;Involvement in relevant pathway(s) for phenotype"	"N.A."	"Transport of small molecules;Assembly of active LPL and LIPC lipase complexes;remodeling;Plasma lipoprotein assembly;and clearance;Plasma lipoprotein remodeling"	"2"	"OLI1434"
"1010"	"BBS1; IFT172"	"Involved in the same disease"	"N.A."	"Organelle biogenesis and maintenance;Cilium Assembly"	"0"	"OLI1439; OLI1440"
"1011"	"ALMS1; BBS1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Organelle biogenesis and maintenance;Cilium Assembly"	"1"	"OLI1442"
"1012"	"BBS1; MKS1"	"Colocalizaton;Same pathway;Involved in the same disease"	"N.A."	"Organelle biogenesis and maintenance;Cilium Assembly"	"2"	"OLI1443"
"1013"	"BBS1; PDE6B"	"Colocalizaton;Indirectly interacting;Involved in the same disease;Same pathway"	"N.A."	"N.A."	"1"	"OLI1444"
"1014"	"BBS1; NPHP4"	"Involved in the same disease"	"N.A."	"Organelle biogenesis and maintenance;Cilium Assembly"	"2"	"OLI1445"
"1015"	"BBS2; CORO2B"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1446"
"1016"	"BBS2; MKS1"	"Colocalizaton;Same pathway;Involved in the same disease"	"N.A."	"Organelle biogenesis and maintenance;Cilium Assembly"	"2"	"OLI1447"
"1017"	"BBS5; MKKS"	"Colocalizaton;Same pathway;Involved in the same disease"	"N.A."	"BBSome-mediated cargo-targeting to cilium;Cilium Assembly;Organelle biogenesis and maintenance;Cargo trafficking to the periciliary membrane"	"2"	"OLI1448"
"1018"	"IFT172; MKKS"	"Involved in the same disease"	"N.A."	"Organelle biogenesis and maintenance;Cilium Assembly"	"2"	"OLI1449"
"1019"	"MKKS; PDE6B"	"Colocalizaton;Indirectly interacting;Involved in the same disease;Same pathway"	"N.A."	"N.A."	"1"	"OLI1450"
"1020"	"BBS7; BBS9"	"Colocalizaton;Same pathway;Involved in the same disease"	"(BBS7, BBS9)"	"BBSome-mediated cargo-targeting to cilium;Cilium Assembly;Organelle biogenesis and maintenance;Cargo trafficking to the periciliary membrane"	"2"	"OLI1451"
"1021"	"BBS9; CEP290"	"N.A."	"(BBS9, CEP290)"	"Organelle biogenesis and maintenance;Cilium Assembly"	"2"	"OLI1452"
"1022"	"BBS12; PDE6B"	"Colocalizaton;Indirectly interacting;Involved in the same disease;Same pathway"	"N.A."	"N.A."	"1"	"OLI1453"
"1023"	"BBS12; TRIM32"	"Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1454"
"1024"	"BBS12; SDCCAG8"	"Involved in the same disease"	"N.A."	"Organelle biogenesis and maintenance;Cilium Assembly"	"2"	"OLI1455"
"1025"	"CFAP418; WDPCP"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1456"
"1026"	"PMS2; POLD1"	"Relevant pathways for phenotype;Indirectly interacting;Involved in the same disease"	"N.A."	"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha);Mismatch repair;DNA Repair;Mismatch Repair;Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)"	"2"	"OLI1457"
"1027"	"SPG11; TARDBP"	"N.A."	"N.A."	"Pathways of neurodegeneration - multiple diseases;Amyotrophic lateral sclerosis"	"2"	"OLI1459"
"1028"	"CACNA1H; RELN"	"Relevant pathways for phenotype;Involved in the same disease;Affecting relevant tissues"	"N.A."	"Nervous system development;Developmental Biology;Axon guidance"	"2"	"OLI1460"
"1029"	"CACNA2D4; VLDLR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1461"
"1030"	"RELN; RYR3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1462"
"1031"	"RELN; RYR2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1463"
"1032"	"ELP4; RELN; RYR1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1464"
"1033"	"ORAI1; RELN"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1465"
"1034"	"CACNA1B; VLDLR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1466"
"1035"	"GRIN2C; KDM6B; RELN"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1467"
"1036"	"CACNA1H; CACNA2D4; RELN"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1468"
"1037"	"CACNA1A; CACNB2; RELN"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1469"
"1038"	"APOE; CHAT; MAPT; PSEN1; SORL1"	"Relevant pathways for phenotype;Involved in the same disease;Directly interacting"	"(APOE, MAPT);(APOE, PSEN1);(APOE, SORL1);(MAPT, PSEN1)"	"N.A."	"1"	"OLI1470"
"1039"	"APOE; CHAT; MAPT; MTHFD1L; PSEN1"	"Relevant pathways for phenotype;Involved in the same disease"	"(APOE, MAPT);(APOE, PSEN1);(MAPT, PSEN1)"	"N.A."	"1"	"OLI1471"
"1040"	"CELSR1; SPTBN1"	"Relevant pathways for phenotype;Monogenic experiments only"	"N.A."	"N.A."	"0"	"OLI1472"
"1041"	"CELSR1; PLXND1"	"Relevant pathways for phenotype;Monogenic experiments only"	"N.A."	"N.A."	"0"	"OLI1473"
"1042"	"CELSR1; MYO15A"	"Same pathway;Involved in the same disease,Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI1474; OLI1475; OLI1476; OLI1477"
"1043"	"CELSR1; CELSR3"	"Same pathway;Involved in the same disease,Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI1478"
"1044"	"ATP7B; DMD"	"N.A."	"N.A."	"N.A."	"0"	"OLI1480"
"1045"	"DUOX2; DUOXA1; FOXE1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1484"
"1046"	"DUOX2; DUOXA2; GLIS3; SHH"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1486"
"1047"	"DUOX2; SHH"	"Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1487"
"1048"	"HOXB3; SLC26A4"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1488"
"1049"	"HOXB3; HOXD3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Developmental Biology;Activation of HOX genes during differentiation;Activation of anterior HOX genes in hindbrain development during early embryogenesis"	"0"	"OLI1489"
"1050"	"EYA1; TPO"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1490"
"1051"	"DUOX2; PSMD2"	"Involved in the same disease"	"N.A."	"Metabolism;Metabolism of amino acids and derivatives"	"0"	"OLI1491"
"1052"	"DUOXA2; TBX1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1492"
"1053"	"DHH; GPRC6A"	"N.A."	"N.A."	"GPCR ligand binding;Signal Transduction;Signaling by GPCR"	"0"	"OLI1508"
"1054"	"ANOS1; WT1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1509"
"1055"	"CTU2; MAP3K1; NR5A1"	"N.A."	"N.A."	"N.A."	"0"	"OLI1510"
"1056"	"CCDC141; DHX37; GLI2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1511"
"1057"	"CCDC141; MYRF; TGIF1"	"N.A."	"N.A."	"N.A."	"0"	"OLI1512"
"1058"	"CCDC141; DHX37; SLC29A3"	"N.A."	"N.A."	"N.A."	"0"	"OLI1513"
"1059"	"FANCD2; FGFR2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1514"
"1060"	"MAP3K1; MYRF"	"N.A."	"N.A."	"N.A."	"0"	"OLI1515"
"1061"	"FLNA; GLI3; NIPBL; PLXNA3; PROKR2; SLC29A3; SOX8"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1516"
"1062"	"CCDC141; GNRHR"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1517"
"1063"	"GPRC6A; SOS1; SRD5A2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1518"
"1064"	"GPRC6A; HSD17B3"	"N.A."	"N.A."	"N.A."	"0"	"OLI1519"
"1065"	"FGFR2; GHRHR; MYRF; PROP1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1520"
"1066"	"FGFR1; HSD17B3"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1521"
"1067"	"CTU2; FLRT3; MAMLD1; RXFP2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1522"
"1068"	"GLI2; MAMLD1; RNF216"	"N.A."	"N.A."	"N.A."	"0"	"OLI1524"
"1069"	"GLI2; GPRC6A; PROKR2"	"Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"0"	"OLI1525"
"1070"	"GPRC6A; POR; ZNRF3"	"N.A."	"N.A."	"N.A."	"0"	"OLI1526"
"1071"	"FANCD2; SRD5A2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1527"
"1072"	"FGFR3; FOXP1; HSD17B6"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1528"
"1073"	"LHX4; PLXNA3"	"N.A."	"N.A."	"Nervous system development;Developmental Biology;Axon guidance"	"1"	"OLI1529"
"1074"	"GLI2; GLI3; NR2F2"	"Relevant pathways for phenotype;In vivo model"	"N.A."	"N.A."	"0"	"OLI1530"
"1075"	"HSD17B3; ZFPM2; ZNRF3"	"N.A."	"N.A."	"N.A."	"0"	"OLI1531"
"1076"	"AKR1C3; BBS7; GHR; GNRHR; PLXNA3"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1532"
"1077"	"GHR; SRD5A2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1533"
"1078"	"CHD7; TGIF1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1534"
"1079"	"AKR1C4; CYB5A; FLRT3; HSD17B6"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1535"
"1080"	"CHD7; MYRF; PROKR2"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1536"
"1081"	"GLI2; GLI3"	"N.A."	"N.A."	"Hedgehog on state;Basal cell carcinoma;Generic Transcription Pathway;GLI proteins bind promoters of Hh responsive genes to promote transcription;RUNX2 regulates bone development;Pathways in cancer;RNA Polymerase II Transcription;Transcriptional regulation by RUNX2;Signal Transduction;Hedgehog off state;Gene expression (Transcription);Hedgehog signaling pathway;Signaling by Hedgehog"	"2"	"OLI1537"
"1082"	"FGFR3; FLRT3; GHR; LZTR1; SHH"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1538"
"1083"	"DUSP6; ZNRF3"	"N.A."	"N.A."	"Signal Transduction"	"0"	"OLI1539"
"1084"	"PROKR2; SRD5A2"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1540"
"1085"	"GHR; GPRC6A; HSD17B3; RNF216"	"N.A."	"N.A."	"N.A."	"0"	"OLI1541"
"1086"	"FLNA; LZTR1"	"N.A."	"N.A."	"N.A."	"0"	"OLI1542"
"1087"	"AKR1C3; AKR1C4; FANCD2; RNF216"	"N.A."	"(AKR1C3, AKR1C4)"	"N.A."	"0"	"OLI1543"
"1088"	"ANOS1; CHD7; PROKR2; TGIF1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1544"
"1089"	"AR; GHR"	"N.A."	"N.A."	"N.A."	"0"	"OLI1545"
"1090"	"SRD5A2; ZFPM2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1546"
"1091"	"DCAF17; MAMLD1; PROKR2; RXFP2"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1547"
"1092"	"MAMLD1; PROKR2; RXFP2"	"N.A."	"N.A."	"Signal Transduction"	"0"	"OLI1548"
"1093"	"CCDC141; SCLY; VEGFB"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1549"
"1094"	"FLRT3; NR5A1"	"Relevant pathways for phenotype"	"N.A."	"Developmental Biology"	"1"	"OLI1550"
"1095"	"DMRT1; MAMLD1"	"N.A."	"N.A."	"Developmental Biology"	"1"	"OLI1551"
"1096"	"LHCGR; SHH"	"N.A."	"N.A."	"Disease;GPCR ligand binding;Signal Transduction;Signaling by GPCR"	"0"	"OLI1552"
"1097"	"CHD7; NR0B1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1553"
"1098"	"FOXP1; GLI2; HS6ST1; HSD17B6"	"N.A."	"N.A."	"N.A."	"0"	"OLI1554"
"1099"	"CCDC141; GHR"	"N.A."	"N.A."	"N.A."	"0"	"OLI1555"
"1100"	"DCAF17; SPRY4"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1556"
"1101"	"HSD17B6; NR5A1; PROK2; SEMA3F"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1557"
"1102"	"FGFR3; FLNA; GLI2; GPRC6A; NR5A1; PROKR2"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1558"
"1103"	"FGFR1; GHR"	"Relevant pathways for phenotype"	"N.A."	"secretion and action;PI3K-Akt signaling pathway"	"0"	"OLI1559"
"1104"	"AMH; SLC29A3"	"N.A."	"N.A."	"N.A."	"0"	"OLI1560"
"1105"	"GPRC6A; KAT6B"	"N.A."	"N.A."	"N.A."	"0"	"OLI1561"
"1106"	"ATP7B; COL1A1; GPC3; HSD17B3; RXFP2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1562"
"1107"	"AKR1C4; GPRC6A; MAP3K1; ROR2; SLC29A3"	"N.A."	"N.A."	"N.A."	"0"	"OLI1563"
"1108"	"AR; FGFR1"	"Relevant pathways for phenotype"	"N.A."	"Pathways in cancer;Prostate cancer"	"0"	"OLI1564"
"1109"	"FANCB; GHRHR; HOXA13; KAT6B; OFD1; SRA1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1565"
"1110"	"CACNA1F; MPDZ; SRA1"	"N.A."	"N.A."	"N.A."	"0"	"OLI1566"
"1111"	"BBS7; GPRC6A; PROKR2"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1567"
"1112"	"NR0B1; SOX8; SRA1"	"N.A."	"N.A."	"N.A."	"0"	"OLI1568"
"1113"	"AMH; DHX37; MYRF; NGLY1"	"N.A."	"N.A."	"N.A."	"0"	"OLI1569"
"1114"	"AR; FLNA; GPRC6A; ROR2"	"N.A."	"(AR, FLNA)"	"Signal Transduction"	"0"	"OLI1570"
"1115"	"GLI3; POR"	"N.A."	"N.A."	"N.A."	"0"	"OLI1571"
"1116"	"HSD17B6; LHX3; PTCH1; RXFP2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1572"
"1117"	"CHD7; SLC29A3"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1573"
"1118"	"CTU2; GLI3"	"N.A."	"N.A."	"N.A."	"0"	"OLI1574"
"1119"	"DCAF17; FEZF1"	"N.A."	"N.A."	"N.A."	"0"	"OLI1575"
